"Plugin";"FIT";"mimetype";"description";"FreeImage";"PIL";"ImageMagick";"extensions"
"AAI";;;"AAI Dune image";;;"rw";"aai"
"ART";;"image/x-jg";"PFS: 1st Publisher";;;"r";"art"
"AVI";;"video/x-msvideo";"Microsoft Audio/Visual Interleaved";;;"r";"avi"
"AVS";;;"AVS X image";;;"rw";"avs"
"BMP";"0";"image/bmp";"Windows or OS/2 Bitmap";"rw";"rw";"rw";"bmp"
"BUFR";;;;;"rw";;"bufr"
"CALS";;;"Continuous Acquisition and Life-cycle Support Type 1 image";;;"r";"cals"
"CGM";;;"Computer Graphics Metafile";;;"r";"cgm"
"CIN";;;"Kodak Cineon Image Format";;;"rw";"cin"
"CUR";;;"Microsoft Cursor Icon";;;"r";"cur"
"CUT";"21";"image/x-cut";"Dr. Halo";"r";;"r";"cut"
"DCM";;;"Digital Imaging and Communications in Medicine (DICOM) image";;;"r";"dcm"
"DCX";;;"Intel FAX container format";;"r";"rw";"dcx"
"DDS";"24";"image/x-dds";"DirectX Surface";"r";;;"dds"
"DIB";;;"Microsoft Windows Device Independent Bitmap";;;"rw";"dib"
"DJVU";;"image/vnd.djvu";;;;"r";"djvu"
"DOT";;;"Graph Visualization";;;"r";"dot"
"DPX";;;"SMPTE Digital Moving Picture Exchange 2.0 (SMPTE 268M-2003)";;;"rw";"dpx"
"EPDF";;;"Encapsulated Portable Document Format";;;"rw";"epdf"
"EPI";;;"Adobe Encapsulated PostScript Interchange format";;;"rw";"epi"
"EPS";;"application/postscript";"Encapsulated Postscript";;"rw";"rw";"eps, ps"
"EPT";;;"Adobe Encapsulated PostScript Interchange format with TIFF preview";;;"rw";"ept"
"EXR";"29";"image/x-exr";"ILM OpenEXR";"rw";;"rw";"exr"
"FIG";;"application/x-xfig";"FIG graphics format";;;"r";"fig"
"FITS";;;;;"rw";"rw";"fit, fits"
"FLI";;"video/fli";"Autodesk FLI/FLC Animation";;"r";;"flc, fli"
"FPX";;;"FlashPix";;"r";"rw";"fpx"
"G3";"27";"image/fax-g3";"Raw fax format CCITT G.3";"r";;"r";"g3, fax"
"GBR";;;"GIMP brush file";;"r";;"gbr"
"GIF";"25";"image/gif";"Graphics Interchange Format";"rw";"rw";"rw";"gif"
"GPLT";;;"Gnuplot plot files";;;"r";"gplt"
"GRAY";;;"Raw gray samples";;;"rw";"gray"
"GRIB";;;;;"identify";;"grib"
"HDF5";;"application/x-hdf";;;"identify";;"h5, hdf"
"HDR";"26";"image/vnd.radiance";"High Dynamic Range Image";"rw";;"rw";"hdr"
"HPGL";;;"HP-GL plotter language";;;"r";"hpgl"
"HRZ";;;"Slow Scane TeleVision";;;"rw";"hrz"
"HTML";;"text/html";"Hypertext Markup Language with a client-side image map";;;"rw";"html"
"ICNS";;;"Mac OS icns resource";;"r";;"icns"
"ICO";"1";"image/vnd.microsoft.icon";"Windows Icon";"rw";"r";"r";"ico"
"IFF";"5";"image/x-iff";"IFF Interleaved Bitmap";"r";;;"iff, lbm"
"IM";;;"IFUNC Image Memory";;"rw";;"im"
"IMT";;;"IM Tools";;"r";;
"INFO";;"application/x-info";"Format and characteristics of the image";;;"w";"info"
"INLINE";;;"Base64-encoded inline image";;;"r";"inline"
"J2K";"30";"image/j2k";"JPEG-2000 codestream";"rw";;;"j2k, j2c"
"JBIG";;;"Joint Bi-level Image experts Group file interchange format";;;"rw";"jbig"
"JNG";"3";"image/x-mng";"JPEG Network Graphics";"rw";;"rw";"jng"
"JP2";"31";"image/jp2";"JPEG-2000 File Format";"rw";;"rw";"jp2"
"JPC";;;"JPEG-2000 Code Stream Syntax";;;"rw";"jpc"
"JPEG";"2";"image/jpeg";"JPEG - JFIF Compliant";"rw";"rw";"rw";"jpg, jif, jpeg, jpe"
"KOALA";"4";"image/x-koala";"C64 Koala Graphics";"r";;;"koa"
"M2V";;;"Motion Picture Experts Group file interchange format (version 2)";;;"rw";"m2v"
"MAN";;"application/x-troff-man";"Unix reference manual pages";;;"r";"man"
"MAT";;;"MATLAB image format";;;"r";"mat"
"MCIDAS";;;"McIdas area file";;"r";;
"MIC";;;"Microsoft Image Composer";;"r";;"mic"
"MIFF";;;"Magick image file format";;;"rw";"miff"
"MNG";"6";"video/x-mng";"Multiple-image Network Graphics";"r";;"rw";"mng"
"MONO";;;"Bi-level bitmap in least-significant-byte first order";;;"rw";"mono"
"MPC";;;"Magick Persistent Cache image file format";;;"rw";"mpc"
"MPEG";;"video/mpeg";;;"identify";"rw";"mpeg, mpg"
"MPR";;;"Magick Persistent Registry";;;"rw";"mpr"
"MSL";;;"Magick Scripting Language";;;"rw";"msl"
"MSP";;;"Windows Paint";;"rw";;"msp"
"MTV";;;"MTV Raytracing image format";;;"rw";"mtv"
"MVG";;;"Magick Vector Graphics.";;;"rw";"mvg"
"OTB";;;"On-the-air Bitmap";;;"rw";"otb"
"P7";;;"Xv's Visual Schnauzer thumbnail format";;;"rw";"p7"
"PALM";;"image/palm";;;"w";"rw";"palm"
"PAM";;;"Common 2-dimensional bitmap format";;;"w";"pam"
"PBM";"7";"image/freeimage-pnm";"Portable Bitmap (ASCII)";"rw";"rw";;"pbm"
"PBMRAW";"8";"image/freeimage-pnm";"Portable Bitmap (RAW)";"rw";"rw";"rw";"pbm"
"PCD";"9";"image/x-photo-cd";"Kodak PhotoCD";"r";;"rw";"pcd"
"PCDS";;;"Photo CD";;;"rw";"pcds"
"PCL";;;"HP Page Control Language";;;"w";"pcl"
